source,text,created_at,is_retweet,id_str
Twitter for iPhone,The Mueller Witch Hunt is a total disgrace. They are looking at supposedly stolen Crooked Hillary Clinton Emails (even though they don’t want to look at the DNC Server) but have no interest in the Emails that Hillary DELETED &amp; acid washed AFTER getting a Congressional Subpoena!,11-28-2018 00:31:37,false,1067576713859817472
Twitter for iPhone,Very disappointed with General Motors and their CEO Mary Barra for closing plants in Ohio Michigan and Maryland. Nothing being closed in Mexico &amp; China. The U.S. saved General Motors and this is the THANKS we get! We are now looking at cutting all @GM subsidies including....,11-27-2018 19:05:39,false,1067494680416407552
Twitter for iPhone,....for electric cars. General Motors made a big China bet years ago when they built plants there (and in Mexico) - don’t think that bet is going to pay off. I am here to protect America’s Workers!,11-27-2018 19:05:39,false,1067494682249318402
Twitter for iPhone,Polls are open in Mississippi. We need Cindy Hyde-Smith in Washington. GO OUT AND VOTE. Thanks!,11-27-2018 13:32:57,false,1067410952042283010
Twitter for iPhone,....terrible Gang of Angry Democrats. Look at their past and look where they come from. The now $30000000 Witch Hunt continues and they’ve got nothing but ruined lives. Where is the Server? Let these terrible people go back to the Clinton Foundation and “Justice” Department!,11-27-2018 13:07:23,false,1067404517841518593
Twitter for iPhone,....The Fake News Media builds Bob Mueller up as a Saint when in actuality he is the exact opposite. He is doing TREMENDOUS damage to our Criminal Justice System where he is only looking at one side and not the other. Heroes will come of this and it won’t be Mueller and his...,11-27-2018 12:42:58,false,1067398375337791488
Twitter for iPhone,The Phony Witch Hunt continues but Mueller and his gang of Angry Dems are only looking at one side not the other. Wait until it comes out how horribly &amp; viciously they are treating people ruining lives for them refusing to lie. Mueller is a conflicted prosecutor gone rogue....,11-27-2018 12:30:37,false,1067395266511347713
Twitter for iPhone,....starts today election is on December 4th. @VoteBradRaff is tough on Crime and Borders Loves our Military and Vets. He will be great for jobs!,11-26-2018 20:20:59,false,1067151249668214793
Twitter for iPhone,Brad Raffensperger will be a fantastic Secretary of State for Georgia - will work closely with @BrianKempGA. It is really important that you get out and vote for Brad - early voting....,11-26-2018 20:20:58,false,1067151248040824833
Twitter for iPhone,While CNN doesn’t do great in the United States based on ratings outside of the U.S. they have very little competition. Throughout the world CNN has a powerful voice portraying the United States in an unfair....,11-26-2018 19:47:29,false,1067142819008122885
Twitter for iPhone,....and false way. Something has to be done including the possibility of the United States starting our own Worldwide Network to show the World the way we really are GREAT!,11-26-2018 19:47:29,false,1067142820388052993
Twitter for iPhone,On the ten-year anniversary of the Mumbai terror attack the U.S. stands with the people of India in their quest for justice. The attack killed 166 innocents including six Americans. We will never let terrorists win or even come close to winning!,11-26-2018 19:45:16,false,1067142262545674240
Twitter for iPhone,....hundreds of people closely involved with my campaign who never met saw or spoke to a Russian during this period? So many campaign workers people inside from the beginning ask me why they have not been called (they want to be). There was NO Collusion &amp; Mueller knows it!,11-26-2018 14:44:33,false,1067066584882126848
Twitter for iPhone,When Mueller does his final report will he be covering all of his conflicts of interest in a preamble will he be recommending action on all of the crimes of many kinds from those “on the other side”(whatever happened to Podesta?) and will he be putting in statements from.....,11-26-2018 14:33:12,false,1067063727994884096
Twitter for iPhone,Mexico should move the flag waving Migrants many of whom are stone cold criminals back to their countries. Do it by plane do it by bus do it anyway you want but they are NOT coming into the U.S.A. We will close the Border permanently if need be. Congress fund the WALL!,11-26-2018 11:19:41,false,1067015026995879937
Twitter for iPhone,....children from parents as did Bush etc. because that is the policy and law. I tried to keep them together but the problem is when you do that vast numbers of additional people storm the Border. So with Obama seperation is fine but with Trump it’s not. Fake 60 Minutes!,11-26-2018 02:07:27,false,1066876053170339840
Twitter for iPhone,.@60Minutes did a phony story about child separation when they know we had the exact same policy as the Obama Administration. In fact a picture of children in jails was used by other Fake Media to show how bad (cruel) we are but it was in 2014 during O years. Obama separated....,11-26-2018 01:59:13,false,1066873981293260801
Twitter for iPhone,Clinton Foundation donations drop 42% - which shows that they illegally played the power game. They monetized their political influence through the Foundation. “During her tenure the State Department was put in the service of the Clinton Foundation.”  Andrew McCarthy,11-25-2018 20:39:26,false,1066793504804913152
Twitter for iPhone,Europe has to pay their fair share for Military Protection. The European Union for many years has taken advantage of us on Trade and then they don’t live up to their Military commitment through NATO. Things must change fast!,11-25-2018 20:27:34,false,1066790517944606721
Twitter for iPhone,General Anthony Tata: “President Trump is a man of his word &amp; he said he was going to be tough on the Border and he is tough on the Border. He has rightfully strengthened the Border in the face of an unprecedented threat. It’s the right move by President Trump.” Thanks General!,11-25-2018 20:20:36,false,1066788767133040640
Twitter for iPhone,Mississippi Vote for @cindyhydesmith on Tuesday. Respected by all. We need her in Washington!. Thanks!,11-25-2018 20:13:00,false,1066786854643662848
Twitter for iPhone,So great that oil prices are falling (thank you President T). Add that which is like a big Tax Cut to our other good Economic news. Inflation down (are you listening Fed)!,11-25-2018 13:46:54,false,1066689688600281088
Twitter for iPhone,Would be very SMART if Mexico would stop the Caravans long before they get to our Southern Border or if originating countries would not let them form (it is a way they get certain people out of their country and dump in U.S. No longer). Dems created this problem. No crossings!,11-25-2018 13:28:30,false,1066685057648214018
Twitter for iPhone,The large and violent French protests don’t take into account how badly the United States has been treated on Trade by the European Union or on fair and reasonable payments for our GREAT military protection. Both of these topics must be remedied soon.,11-25-2018 13:16:56,false,1066682146683846657
Twitter for iPhone,I will be in Gulfport and Tupelo Mississippi on Monday night doing two Rallies for Senator Hyde-Smith who has a very important Election on Tuesday. She is an outstanding person who is strong on the Border Crime Military our great Vets Healthcare &amp; the 2nd A. Needed in D.C.,11-25-2018 12:30:51,false,1066670550708301824
